company reports,"('000net', -4.585065678564867)","('earns', -4.63456788085799)","('000share', -4.653905067628765)","('qtr', -4.7066438109584166)","('otc', -5.2184004777616835)","('net', -5.32711429113291)","('nyse', -5.4910152866278805)","('quarter', -5.5274639293378405)","('share', -5.718548557812565)","('corp', -5.744546319796312)"
leisure,"('park', -6.433403403230343)","('parks', -6.883248795513983)","('central', -8.011210675940909)","('land', -8.062655405411963)","('acres', -8.150180012828063)","('area', -8.151508526087433)","('recreation', -8.162882046104093)","('river', -8.221277198323262)","('plan', -8.257586918835145)","('environmental', -8.293372777498256)"
gardens and gardening,"('garden', -6.582954428390326)","('plants', -6.630868447180551)","('plant', -6.914475371533391)","('gardeners', -7.098703987829554)","('soil', -7.204297640117542)","('flowers', -7.241665880400772)","('gardens', -7.275395476089812)","('gardening', -7.371635088877754)","('leaves', -7.406116303846412)","('flower', -7.454903005197675)"
soft drinks,"('cola', -7.499408007812208)","('coca', -7.681072060658475)","('coke', -7.8735218953177215)","('pepsi', -7.945676900052224)","('drink', -8.228232715019377)","('soft', -8.363979074277978)","('beverage', -8.47853477164922)","('drinks', -8.481143917455134)","('pepsico', -8.579406320969282)","('soda', -8.881356465268524)"
building (construction),"('construction', -7.095739419479555)","('building', -7.563573209875113)","('buildings', -8.041543556862056)","('projects', -8.263381730733212)","('project', -8.316526318454903)","('site', -8.37442499533599)","('workers', -8.406464707943925)","('contractors', -8.541818434563687)","('built', -8.566344177467712)","('billion', -8.568816689213673)"
culture,"('indian', -7.069131105267599)","('arts', -7.147750295806111)","('indians', -7.497388674002484)","('cultural', -7.520879926641547)","('art', -7.548030643839182)","('museum', -7.6249722184897815)","('tribe', -7.714105439108157)","('culture', -7.738804175601871)","('theater', -7.750078090688868)","('music', -7.832858756373109)"
firearms,"('gun', -6.372337120596715)","('guns', -6.784571381579868)","('police', -7.231306510867126)","('weapons', -7.278022506758097)","('firearms', -7.318525512745683)","('rifle', -7.511202927539141)","('handgun', -7.63868984135433)","('handguns', -7.7688437395780126)","('control', -7.8184597718784525)","('assault', -7.897526604056226)"
marijuana,"('marijuana', -7.030549838365747)","('drug', -7.951808231010048)","('drugs', -8.498226388480678)","('police', -8.80274746561346)","('cocaine', -8.953550222336599)","('medical', -8.964379806964992)","('possession', -9.090065619345234)","('arrested', -9.091442437357049)","('court', -9.120768663317138)","('enforcement', -9.14765145724703)"
drug abuse and traffic,"('drug', -5.768094387154389)","('drugs', -6.45897484162225)","('cocaine', -6.503400594096826)","('police', -6.793776487530434)","('marijuana', -7.116730381771584)","('arrested', -7.302667901494603)","('heroin', -7.312087470238229)","('enforcement', -7.399214410246177)","('charges', -7.434945271915361)","('narcotics', -7.449556902364082)"
missing persons,"('sept', -7.683579388540693)","('missing', -7.732008994618331)","('attacks', -7.802449651809199)","('police', -7.808297493574904)","('challenged', -7.909285835652544)","('trade', -8.010040000931593)","('nation', -8.013895790309927)","('terrorist', -8.085516544359773)","('afghanistan', -8.232841830593525)","('attack', -8.253072151935884)"
electronics,"('electronics', -7.709018631382549)","('semiconductor', -8.12874437427364)","('cd', -8.134603583085788)","('digital', -8.204540429252075)","('computer', -8.252538814137022)","('industry', -8.276196402357186)","('electronic', -8.32773976500876)","('technology', -8.331508137423933)","('video', -8.352903610274163)","('companies', -8.396429063583303)"
blood,"('blood', -7.242726889291094)","('dr', -8.196128245155606)","('disease', -8.463021747054098)","('patients', -8.46363290011421)","('aids', -8.577468507727621)","('virus', -8.600639795062733)","('health', -8.666000076639524)","('drug', -8.702811346452917)","('researchers', -8.7442231539738)","('study', -8.759662590995125)"
genetic engineering,"('genetically', -7.760425837743183)","('genetic', -8.161624255811443)","('gene', -8.334100780675524)","('biotechnology', -8.343595351472688)","('engineered', -8.353884212521072)","('genes', -8.383069601565998)","('scientists', -8.591792447002808)","('dr', -8.710242862564947)","('cells', -8.728215524409437)","('modified', -8.75523661439312)"
genetics and heredity,"('genetic', -6.972664685732103)","('genes', -7.13792215239954)","('gene', -7.236347578185203)","('dr', -7.416338351697485)","('genetically', -7.500466430394416)","('dna', -7.583442223071398)","('scientists', -7.589000566218339)","('human', -7.754922151792488)","('cells', -7.783324301573388)","('researchers', -7.784888518394001)"
bribery,"('bribery', -7.316088560264473)","('bribes', -7.390689381029351)","('charges', -7.54034148374444)","('investigation', -7.5710162155202365)","('corruption', -7.636245883299538)","('prosecutors', -7.719572832107664)","('bribe', -7.784088783474423)","('guilty', -7.8078342811233234)","('court', -7.873107437870257)","('attorney', -7.887113106006259)"
comedy and humor,"('comedy', -8.056686850778794)","('jokes', -8.555830946810987)","('humor', -8.60945839732355)","('funny', -8.702811555487873)","('comedian', -8.715611712800332)","('comedians', -8.721103283635033)","('comic', -8.922438571003045)","('joke', -8.988088746344397)","('laugh', -9.021617264716955)","('audience', -9.090166974909316)"
nightclubs and cabarets,"('club', -7.768689330468322)","('cabaret', -8.121523675446669)","('nightclub', -8.301995140899765)","('clubs', -8.35395421659885)","('singer', -8.508557276898639)","('bar', -8.560362991249589)","('music', -8.573744546599881)","('songs', -8.65302478953405)","('jazz', -8.749029835190328)","('dance', -8.756522223706654)"
life styles,"('living', -9.0178691995798)","('women', -9.019733302138912)","('live', -9.049711263812434)","('men', -9.251494346730965)","('lives', -9.288581843687279)","('parents', -9.308258104606569)","('social', -9.356861360564151)","('town', -9.374224471489278)","('age', -9.39212713334656)","('editor', -9.399435822564657)"
surgery and surgeons,"('surgery', -7.1237734209762795)","('dr', -7.580036467693327)","('patients', -7.601461003873485)","('medical', -7.845346746714746)","('doctors', -7.846386659787796)","('hospital', -7.89871223127494)","('surgeons', -7.97308537742771)","('surgeon', -8.040858829906156)","('patient', -8.087974457653914)","('surgical', -8.262327200862876)"
parades,"('parade', -7.076752380661915)","('parades', -8.601477426767232)","('mayor', -8.666928833413529)","('avenue', -8.683981968804364)","('police', -8.72360433423155)","('gay', -8.736853211387716)","('march', -8.810217032515549)","('marchers', -8.820429478542845)","('patrick', -8.836285145002135)","('irish', -8.932318451179341)"
discrimination,"('discrimination', -6.593487093224053)","('rights', -7.165456577259814)","('court', -7.166520938622425)","('black', -7.166551680422044)","('racial', -7.19878197194876)","('women', -7.317885086773601)","('civil', -7.434248606125326)","('blacks', -7.609412129495133)","('race', -7.669994282317025)","('judge', -7.722112885698253)"
free agents (sports),"('agent', -7.578787485876049)","('season', -7.868575027273721)","('players', -7.8906761404478845)","('contract', -7.911758233586206)","('team', -8.061386974033713)","('league', -8.080672031821166)","('teams', -8.265580753025697)","('player', -8.290061231665177)","('baseball', -8.305271163347694)","('agents', -8.30977792540998)"
interscholastic athletics,"('team', -8.252480260374758)","('game', -8.359571277914599)","('coach', -8.373567375660487)","('athletic', -8.403922327474593)","('schools', -8.517382450805773)","('football', -8.574048285737213)","('basketball', -8.598780566924157)","('sports', -8.627654619916346)","('season', -8.636729817247119)","('players', -8.644202744337484)"
telephones and telecommunications,"('phone', -6.441578368502381)","('wireless', -6.678874011965782)","('telecommunications', -6.833228505028761)","('companies', -6.842495865532371)","('communications', -6.847015286156428)","('telephone', -6.889325642689565)","('phones', -7.083350773048908)","('internet', -7.1960141721370485)","('customers', -7.226554381583435)","('cellular', -7.256915156629906)"
radio,"('radio', -6.419318905702171)","('stations', -7.296021880092536)","('station', -7.400431764121354)","('television', -7.4638963505270635)","('broadcast', -7.50138657049825)","('fm', -7.548181530426791)","('broadcasting', -7.7079711772153)","('listeners', -7.781182424775845)","('network', -7.803796083651336)","('programming', -7.8282504395502155)"
reproduction (biological),"('cloning', -7.792970037308645)","('embryos', -8.039789954271946)","('dr', -8.06270567320983)","('sperm', -8.099115949935495)","('human', -8.264694156396393)","('fertility', -8.327858015535258)","('cells', -8.346854790746658)","('scientists', -8.360158624258384)","('reproductive', -8.385365370775656)","('baby', -8.447137534695509)"
physics,"('physics', -7.850931925823051)","('physicists', -8.139348551577571)","('dr', -8.214288770787975)","('scientists', -8.29151713618935)","('particles', -8.410700536063919)","('science', -8.463922942417092)","('particle', -8.470245650263536)","('energy', -8.564903664645101)","('physicist', -8.5802568471248)","('theory', -8.631164241531692)"
mayors,"('mayor', -6.136189739207061)","('giuliani', -6.8360275090321565)","('mayoral', -6.962314486761051)","('campaign', -7.000839229085981)","('election', -7.1498540569679525)","('dinkins', -7.156488074124708)","('bloomberg', -7.2682240120146115)","('democratic', -7.307350733619611)","('candidate', -7.386146921401834)","('voters', -7.425245573216956)"
primaries,"('primary', -6.502464266491364)","('democratic', -6.7661630361533165)","('campaign', -6.775275945345398)","('voters', -6.971999519100182)","('candidates', -6.977704598360041)","('candidate', -7.085909346903425)","('republican', -7.087273440427553)","('party', -7.162923152696801)","('election', -7.191225707730082)","('senator', -7.256133420035356)"
design,"('design', -6.956464083182589)","('computer', -7.29799595414541)","('corporation', -7.563578833531693)","('designed', -7.575172903199875)","('computers', -7.597581855786749)","('market', -7.678088085776697)","('technology', -7.678982589553698)","('designer', -7.776573725805173)","('designers', -7.850085897363637)","('software', -7.857210955562654)"
"new models, design and products","('computer', -7.1943690768972175)","('corporation', -7.441414487294594)","('computers', -7.467103628161296)","('technology', -7.612285397811676)","('market', -7.663383441602604)","('software', -7.7142170762756885)","('machines', -7.74753554647629)","('companies', -7.8445665359532075)","('product', -7.869195730866667)","('industry', -7.892477462786108)"
weight,"('weight', -7.406027703209816)","('obesity', -7.669558175837421)","('diet', -7.894096877106004)","('fat', -7.960397425116968)","('overweight', -8.059238805636385)","('pounds', -8.156389759613774)","('health', -8.28400615051792)","('dr', -8.287070455962523)","('obese', -8.309690760067246)","('food', -8.334807288787292)"
christmas,"('christmas', -6.655411800575194)","('holiday', -7.264774094110229)","('tree', -7.860856051971796)","('santa', -8.146646334048668)","('season', -8.209748003912697)","('holidays', -8.384030426770483)","('gift', -8.39522518511517)","('gifts', -8.432249480004035)","('dec', -8.46800352666854)","('trees', -8.504277586295645)"
office buildings and commercial properties,"('sept', -6.564770347671092)","('trade', -6.81087203605474)","('attacks', -6.852436067114791)","('building', -6.913765783466552)","('terrorist', -7.071458112056432)","('attack', -7.2429415335600655)","('buildings', -7.277831795305368)","('manhattan', -7.280502474827535)","('square', -7.306195415411835)","('nation', -7.3223666281580355)"
political prisoners,"('prisoners', -7.877262214903618)","('rights', -8.220520939036607)","('prison', -8.312339622098548)","('human', -8.373617978867092)","('china', -8.506140031135821)","('release', -8.563754109417816)","('democracy', -8.584745750871992)","('chinese', -8.681341212453715)","('dissidents', -8.72383808200821)","('released', -8.807937240900289)"
forecasts,"('growth', -7.791832878840876)","('economy', -7.801154752565298)","('billion', -7.922042981334323)","('economic', -7.9471091849363615)","('market', -7.997595237837871)","('rates', -8.136616931178086)","('forecast', -8.144449160183594)","('prices', -8.155821454067464)","('rate', -8.177931100157902)","('analysts', -8.198664399289534)"
furniture,"('furniture', -7.034864317547571)","('chair', -7.97009115184941)","('design', -7.999938597537275)","('chairs', -8.112435251970718)","('table', -8.165798822344586)","('pieces', -8.191491463423525)","('currents', -8.48482064419498)","('designer', -8.499008519224859)","('wood', -8.520939842834045)","('tables', -8.619460078103486)"
