company reports,"('amex', -5.211085144866019)","('discontinued', -5.618139282572193)","('b1', -5.798886604494445)","('01', -5.82673857213189)","('02', -5.948127118431862)","('03', -6.019199039200537)","('respectively', -6.031137196260979)","('04', -6.105005230861835)","('05', -6.1054368021531875)","('06', -6.122930199970927)","('07', -6.158774913732408)","('08', -6.188779909082163)","('b2', -6.239610516468859)","('09', -6.270049997439826)","('bancorp', -6.41081352321991)","('restated', -6.433686808621377)","('credits', -6.530837683622718)","('b3', -6.623665309117045)","('pretax', -6.770951444515765)","('b4', -6.811898229367177)"
college athletics,"('collegiate', -6.149015364716751)","('seeded', -6.595479494834755)","('freshman', -6.599854219699338)","('syracuse', -6.637591187641029)","('athletes', -6.6863688278468905)","('notre', -6.762357968574788)","('touchdown', -6.777191217914974)","('dame', -6.80471848205515)","('rebounds', -6.80883112944103)","('duke', -6.843461557137762)","('oklahoma', -6.8934585936298935)","('sophomore', -6.933432355982264)","('halftime', -6.982096530463937)","('penn', -6.990033690110168)","('touchdowns', -7.003047001625798)","('rutgers', -7.039924183459623)","('huskies', -7.141809577819915)","('coaching', -7.190158687536947)","('throws', -7.193235896883315)","('kentucky', -7.20366454143385)"
basketball,"('knicks', -5.022702945726888)","('nets', -5.387965234480307)","('rebounds', -5.418381924700841)","('ewing', -6.003025744832453)","('bulls', -6.2075875029492344)","('assists', -6.219525504763015)","('lakers', -6.228257739936043)","('foul', -6.292972393254118)","('basket', -6.299738039218819)","('throws', -6.344815440339514)","('pointer', -6.459750869299615)","('pistons', -6.484566646516292)","('celtics', -6.486013766706802)","('riley', -6.5135212421041615)","('finals', -6.60472953331213)","('halftime', -6.623372656841372)","('gundy', -6.629990195295739)","('averaged', -6.652408464007645)","('coaching', -6.681204593833566)","('collegiate', -6.688520226941923)"
censorship,"('censorship', -7.007128367759137)","('censors', -8.050824590844979)","('censor', -8.184555983262978)","('banned', -8.317964465600182)","('editors', -8.680139822386058)","('censored', -8.772828197387147)","('explicit', -8.844047422546465)","('pornography', -8.847337896350346)","('beijing', -8.865736378752919)","('decency', -8.867199607615593)","('rushdie', -8.883067785611537)","('publications', -8.895564561444262)","('saudi', -8.934508977940038)","('endowment', -8.935271359660678)","('obscene', -8.94016461330129)","('broadcasting', -8.962106267342264)","('publish', -8.974586172426957)","('arabia', -8.992852584979936)","('libraries', -9.016638233930001)","('sexually', -9.047345930907902)"
english language,"('dictionary', -7.532287643503022)","('usage', -7.628245282231269)","('verb', -7.6416390095259965)","('noun', -7.758044350652327)","('languages', -7.907454124509687)","('bilingual', -7.9333199692170915)","('slang', -8.090989493175186)","('linguistic', -8.09684096575326)","('safire', -8.237985868245485)","('adjective', -8.258341098339109)","('speakers', -8.361328061592602)","('grammar', -8.455087926256226)","('spelling', -8.484042817258494)","('phrases', -8.496722966419297)","('pronunciation', -8.561266005423796)","('dialect', -8.617159871074767)","('coined', -8.637432257469499)","('origin', -8.639137765566733)","('citation', -8.655585787097912)","('oxford', -8.660449922103593)"
language and languages,"('languages', -7.031121725611342)","('bilingual', -7.491295365436127)","('dictionary', -7.511495525698341)","('usage', -7.705585987780368)","('verb', -7.725549346509112)","('translation', -7.750311048731233)","('linguistic', -7.759038043977692)","('noun', -7.845459165500607)","('speakers', -7.859456253797223)","('puerto', -7.885869644795509)","('hispanics', -8.079663181826245)","('slang', -8.118471082165478)","('minorities', -8.176394779220562)","('yiddish', -8.192301641713746)","('whites', -8.203853159110935)","('immigrant', -8.216759474195992)","('phrases', -8.230096814696097)","('grammar', -8.231631284574053)","('arabic', -8.232456565669965)","('rican', -8.261994965920902)"
roads and traffic,"('lanes', -6.719507192481206)","('accidents', -6.807233051184613)","('motorists', -6.848847739886372)","('parkway', -6.8701068950936905)","('interstate', -6.925786340513536)","('highways', -6.941056893484239)","('turnpike', -7.005609901995016)","('drunken', -7.056975737914221)","('expressway', -7.1523422295780215)","('toll', -7.206144115770068)","('congestion', -7.221241590972798)","('transit', -7.240606564543653)","('speeding', -7.261083927455283)","('pedestrians', -7.26204036545078)","('passenger', -7.299030688463708)","('intersection', -7.362901179738216)","('pedestrian', -7.482288149315228)","('buses', -7.524091219975697)","('roadway', -7.5275760103212015)","('automobile', -7.572406079057687)"
automobiles,"('motors', -5.880429340488706)","('chrysler', -5.994264542422681)","('automobile', -6.214566237906977)","('toyota', -6.305698321324679)","('automotive', -6.451103978839699)","('honda', -6.50928285162154)","('engine', -6.645630333200317)","('nissan', -6.699853090534925)","('wheel', -6.843205264331248)","('automakers', -6.904971364504445)","('chevrolet', -6.9832355447365835)","('mercedes', -7.021560382154048)","('gasoline', -7.027209534279873)","('bmw', -7.030974105870569)","('sedan', -7.033306977786554)","('volkswagen', -7.035000931095923)","('daimlerchrysler', -7.103465660507558)","('rear', -7.119815635401368)","('pickup', -7.144076177466014)","('passenger', -7.153066299057951)"
company and organization profiles,"('profitable', -7.791395499791319)","('acquisitions', -7.928428145066434)","('margins', -8.197943135850267)","('brands', -8.23771924429189)","('portfolio', -8.23900549968112)","('telecommunications', -8.333464518992269)","('microsoft', -8.3806093042764)","('retailers', -8.383728828823031)","('investing', -8.385691038736379)","('shareholder', -8.404152231561653)","('takeover', -8.447771681963209)","('profitability', -8.453721994893282)","('bankers', -8.508943839798096)","('competitor', -8.525629608479697)","('invested', -8.529729962795521)","('electronics', -8.546560782798794)","('asset', -8.550637080468707)","('niche', -8.562549621566683)","('circulation', -8.586768633662158)","('programming', -8.615968121559089)"
arms control and limitation and disarmament,"('treaty', -5.904726704808243)","('missiles', -6.325972383174683)","('missile', -6.524688701182773)","('warheads', -6.901162381091614)","('gorbachev', -6.968246455098229)","('russians', -7.356574375109767)","('nato', -7.369252826829898)","('disarmament', -7.446728837728034)","('summit', -7.457996295140768)","('abm', -7.501824956308659)","('verification', -7.54180767577712)","('mikhail', -7.549166287764829)","('accord', -7.5552670711048995)","('pact', -7.65518455195518)","('ballistic', -7.7226139110433545)","('antiballistic', -7.75104576619265)","('soviets', -7.767978281652451)","('reductions', -7.773168449414094)","('shultz', -7.776212042894871)","('geneva', -7.786867356024043)"
treaties,"('treaty', -5.852035738915456)","('pact', -7.286628141316624)","('missile', -7.32523379213654)","('accord', -7.3256094323716665)","('missiles', -7.484598913620878)","('treaties', -7.607986592696252)","('ratification', -7.746204098424774)","('agreements', -7.799704217560992)","('abm', -7.908230054820713)","('ratified', -7.909634698571949)","('warheads', -7.995123301992521)","('ratify', -8.078159090137419)","('tariffs', -8.127201588298261)","('negotiators', -8.141240726338658)","('gorbachev', -8.150112779758793)","('summit', -8.161990417660896)","('russians', -8.172311568376415)","('verification', -8.197003631732692)","('nonproliferation', -8.23614244520167)","('antiballistic', -8.240542917814892)"
boards of directors,"('shareholder', -7.2327368392403875)","('proxy', -7.353040341079081)","('governance', -7.624134214000362)","('compensation', -8.010446337791219)","('institutional', -8.16221945853233)","('takeover', -8.171270986146418)","('pension', -8.300285956013148)","('slate', -8.359480314804037)","('filing', -8.407667183874603)","('enron', -8.472702290944836)","('eisner', -8.527964658882311)","('dissident', -8.559172317102028)","('disney', -8.581236377418172)","('regulators', -8.611961062093497)","('stockholders', -8.628314595452844)","('grasso', -8.647799020641461)","('resign', -8.680229612876994)","('nominees', -8.686645731077157)","('audit', -8.788381806408271)","('delaware', -8.80044623209886)"
"hockey, ice","('rangers', -5.09792174684535)","('devils', -5.223674222901379)","('islanders', -5.451252877365044)","('defenseman', -5.697761239690122)","('puck', -5.740739693976127)","('goalie', -5.984566468148578)","('goaltender', -6.138093482745636)","('messier', -6.2049226277641)","('flyers', -6.284783945186482)","('penguins', -6.363891505836509)","('gretzky', -6.45722230609315)","('assists', -6.459403975764798)","('brodeur', -6.463904257920229)","('slap', -6.494622781444736)","('lemieux', -6.509485487640181)","('ranger', -6.541662497646414)","('richter', -6.557747401934086)","('leetch', -6.577491837231863)","('montreal', -6.578644111570077)","('edmonton', -6.653372597637345)"
coaches and managers,"('coaching', -5.834016515014431)","('coached', -6.694517932049435)","('knicks', -6.723512024000693)","('parcells', -6.982008888706579)","('nets', -7.420390289951154)","('rangers', -7.454786787964753)","('torre', -7.471223395304354)","('collegiate', -7.504747532035067)","('steinbrenner', -7.534869317426475)","('franchise', -7.563844146459834)","('patriots', -7.592773834387904)","('fassel', -7.613180140718438)","('tampa', -7.655148982398699)","('pitino', -7.672591097989844)","('riley', -7.723724608689252)","('championships', -7.725202425073996)","('athletes', -7.738360746422632)","('robinson', -7.746297508247165)","('assistants', -7.761556178494233)","('belichick', -7.7940216234518696)"
dow jones stock average,"('dow', -5.437357659916166)","('nasdaq', -6.009474271033057)","('composite', -6.015852025111342)","('traders', -6.47708121422037)","('strategist', -7.013190482457327)","('indexes', -7.035330387331506)","('declines', -7.171900749493397)","('chip', -7.2011623645546505)","('intel', -7.202446336571952)","('climbed', -7.361182496122074)","('highs', -7.45485167429877)","('microsoft', -7.459108777265677)","('birinyi', -7.485319499405882)","('declining', -7.4863225224893)","('advancing', -7.491099728347066)","('slipped', -7.493748997699474)","('futures', -7.532700807865633)","('tenths', -7.593994636108311)","('selloff', -7.643446406537616)","('industrials', -7.652193998979995)"
coups d'etat and attempted coups d'etat,"('coup', -6.423165642900808)","('aristide', -7.941886822917073)","('haiti', -7.956586141419798)","('gorbachev', -8.0319981660359)","('overthrow', -8.040603913650125)","('aquino', -8.225085946960073)","('yeltsin', -8.309459831684102)","('haitian', -8.318489796778323)","('rebels', -8.331936862321182)","('colonel', -8.41654617428796)","('plotters', -8.451648135130402)","('rebel', -8.486123907553457)","('chávez', -8.577006855854059)","('ousted', -8.616867925123241)","('palace', -8.675379645484297)","('col', -8.678536340325875)","('venezuela', -8.721052560327333)","('junta', -8.736089761118432)","('corazon', -8.739427343866673)","('deposed', -8.751008532822647)"
frauds and swindling,"('scheme', -6.702328649931536)","('indictment', -6.713770300799974)","('fraudulent', -6.82240569627611)","('conspiracy', -6.99006484622346)","('indicted', -7.0044631533917965)","('regulators', -7.0575463138143695)","('enron', -7.06090172182836)","('defendants', -7.095821941814544)","('wrongdoing', -7.245075461537096)","('plea', -7.350007425624612)","('transactions', -7.436607662867975)","('defrauding', -7.4877103121124815)","('defraud', -7.491672476117943)","('defrauded', -7.504533751883522)","('fines', -7.609380657374803)","('defendant', -7.651124202308346)","('auditors', -7.6590536721631794)","('filing', -7.6801671815296775)","('audit', -7.681126437517892)","('theft', -7.68754468162623)"
bridge (card game),"('spade', -5.180273708757196)","('ace', -5.2783570870490975)","('diamond', -5.345530742908589)","('dummy', -5.469592002143045)","('trump', -5.541250746865057)","('spades', -5.6856100139826244)","('diagramed', -5.767280949981071)","('diamonds', -6.002236548073072)","('tricks', -6.018107609487392)","('trick', -6.065091433894542)","('declarer', -6.119210331393396)","('ruffed', -6.13746947608969)","('ruff', -6.187149940053599)","('cashed', -6.291547662942824)","('pairs', -6.320772412760858)","('imps', -6.384871580084083)","('trumps', -6.423073077562527)","('bidding', -6.597369868145588)","('slam', -6.6084165885794315)","('finesse', -6.656555972687326)"
insurance,"('insurers', -5.798271359087384)","('medicare', -5.9705998553169595)","('premiums', -6.005108161634502)","('employers', -6.339498527887598)","('medicaid', -6.477945598093333)","('uninsured', -6.566394232188795)","('insurer', -6.63151569024594)","('prescription', -6.950405732597383)","('premium', -6.9877747747227)","('employer', -7.046066608440625)","('insured', -7.064675569990596)","('physicians', -7.198829405827962)","('beneficiaries', -7.246569801787068)","('regulators', -7.255429960319197)","('policyholders', -7.273288226538898)","('liability', -7.361919928189698)","('compensation', -7.402405614560887)","('providers', -7.435523551679539)","('shield', -7.494834743770526)","('malpractice', -7.533398493307219)"
banks and banking,"('deposit', -6.140707328789482)","('regulators', -6.327363042687602)","('bankers', -6.399358771386651)","('deposits', -6.400136202537045)","('lending', -6.7339723644182286)","('depositors', -6.809463793280142)","('branches', -6.84952841709291)","('bailout', -6.910773822342696)","('yields', -6.9149116842506935)","('certificates', -7.0344019157366)","('insolvent', -7.184518501010221)","('mortgage', -7.211440951851532)","('thrift', -7.225837182969768)","('transactions', -7.253022957380089)","('regulatory', -7.2834423632034495)","('citigroup', -7.329051035340331)","('citibank', -7.485922719640931)","('keating', -7.491769777891479)","('brokerage', -7.494602647631875)","('mergers', -7.511266981147612)"
steel and iron,"('tons', -7.357717002833689)","('imports', -7.880469477907148)","('usx', -7.8874568734723365)","('tariffs', -7.951829861613774)","('steelworkers', -8.062062404422463)","('steelmakers', -8.259456087913197)","('arcelor', -8.299124034467273)","('bethlehem', -8.33811616900242)","('mills', -8.438822865754299)","('mittal', -8.475932233667825)","('ltv', -8.560876279179691)","('exports', -8.582939130483396)","('amounted', -8.662100708744658)","('quotas', -8.683468472246872)","('ore', -8.72963116952877)","('ton', -8.769307682183662)","('steelmaker', -8.807682499494256)","('output', -8.848358935464185)","('import', -8.852106407833904)","('imported', -8.873653395084915)"
